record_type,toll_class,payment_type,period,day_of_week_mask,window_start,window_end,amount_cents,once_per_day,crossing_code,credit_cents,effective_date
SCHEDULE,PASSENGER,EZPASS,PEAK,1111100,05:00,21:00,900,true,,,2025-01-05
SCHEDULE,PASSENGER,EZPASS,PEAK,0000011,09:00,21:00,900,true,,,2025-01-05
SCHEDULE,PASSENGER,EZPASS,OVERNIGHT,1111100,00:00,05:00,225,true,,,2025-01-05
SCHEDULE,PASSENGER,EZPASS,OVERNIGHT,1111100,21:00,24:00,225,true,,,2025-01-05
SCHEDULE,PASSENGER,EZPASS,OVERNIGHT,0000011,00:00,09:00,225,true,,,2025-01-05
SCHEDULE,PASSENGER,EZPASS,OVERNIGHT,0000011,21:00,24:00,225,true,,,2025-01-05
SCHEDULE,PASSENGER,TOLLS_BY_MAIL,PEAK,1111100,05:00,21:00,1350,true,,,2025-01-05
SCHEDULE,PASSENGER,TOLLS_BY_MAIL,PEAK,0000011,09:00,21:00,1350,true,,,2025-01-05
SCHEDULE,PASSENGER,TOLLS_BY_MAIL,OVERNIGHT,1111100,00:00,05:00,330,true,,,2025-01-05
SCHEDULE,PASSENGER,TOLLS_BY_MAIL,OVERNIGHT,1111100,21:00,24:00,330,true,,,2025-01-05
SCHEDULE,PASSENGER,TOLLS_BY_MAIL,OVERNIGHT,0000011,00:00,09:00,330,true,,,2025-01-05
SCHEDULE,PASSENGER,TOLLS_BY_MAIL,OVERNIGHT,0000011,21:00,24:00,330,true,,,2025-01-05
CREDIT,PASSENGER,EZPASS,PEAK,,,,,,LINCOLN,300,2025-01-05
CREDIT,PASSENGER,EZPASS,PEAK,,,,,,HOLLAND,300,2025-01-05
CREDIT,PASSENGER,EZPASS,PEAK,,,,,,QUEENSMID,300,2025-01-05
CREDIT,PASSENGER,EZPASS,PEAK,,,,,,HUGHCAREY,300,2025-01-05
