code,name,agency,crossing_type,latitude,longitude,travel_bearing_deg,tolled_directions
GWB,George Washington Bridge,PANYNJ,BRIDGE,40.851700,-73.952700,100,FORWARD
LINCOLN,Lincoln Tunnel,PANYNJ,TUNNEL,40.762470,-74.009970,100,FORWARD
HOLLAND,Holland Tunnel,PANYNJ,TUNNEL,40.727400,-74.011300,95,FORWARD
BAYONNE,Bayonne Bridge,PANYNJ,BRIDGE,40.639600,-74.141300,165,FORWARD
GOETHALS,Goethals Bridge,PANYNJ,BRIDGE,40.639800,-74.193200,95,FORWARD
OUTERBRIDGE,Outerbridge Crossing,PANYNJ,BRIDGE,40.532600,-74.243200,50,FORWARD
VERRAZZANO,Verrazzano-Narrows Bridge,MTABT,BRIDGE,40.606700,-74.044600,215,BOTH
RFK,Robert F Kennedy Triborough Bridge,MTABT,BRIDGE,40.790600,-73.923500,270,BOTH
QUEENSMID,Queens Midtown Tunnel,MTABT,TUNNEL,40.744000,-73.958500,280,BOTH
HUGHCAREY,Hugh L Carey Tunnel,MTABT,TUNNEL,40.700700,-74.017000,350,BOTH
WHITESTONE,Bronx-Whitestone Bridge,MTABT,BRIDGE,40.800300,-73.826500,190,BOTH
THROGSNECK,Throgs Neck Bridge,MTABT,BRIDGE,40.804300,-73.791300,190,BOTH
HENRYHUDSON,Henry Hudson Bridge,MTABT,BRIDGE,40.878100,-73.923500,180,BOTH
NJTPK,New Jersey Turnpike Mainline,NJTA,ROADWAY_SEGMENT,40.686780,-74.165060,200,BOTH
GSP,Garden State Parkway Mainline,NJTA,ROADWAY_SEGMENT,40.697600,-74.263200,190,BOTH
CUOMOBRIDGE,Governor Mario M Cuomo Bridge,NYSTA,BRIDGE,41.076200,-73.882300,75,FORWARD
THRUWAY,New York Thruway Mainline,NYSTA,ROADWAY_SEGMENT,40.931200,-73.838800,10,BOTH
