# PROVISIONAL PLACEHOLDER FIGURES. Not researched real rates, see data/seeds/SOURCES.md.
# Used only for development, testing determinism, and load testing until Phase 9's manual
# quote collection replaces these numbers with real calibration data.
company_code,company_name,car_class_code,base_daily_rate_cents,company_multiplier_bp,flat_fee_cents
AVIS,Avis,ECONOMY,4200,11000,1899
AVIS,Avis,COMPACT,4600,11000,1899
AVIS,Avis,MIDSIZE,5200,11000,1899
AVIS,Avis,STANDARD,5800,11000,1899
AVIS,Avis,FULLSIZE,6500,11000,1899
AVIS,Avis,SUV,7800,11000,1899
AVIS,Avis,MINIVAN,8200,11000,1899
AVIS,Avis,LUXURY,9500,11000,1899
BUDGET,Budget,ECONOMY,4200,9200,1599
BUDGET,Budget,COMPACT,4600,9200,1599
BUDGET,Budget,MIDSIZE,5200,9200,1599
BUDGET,Budget,STANDARD,5800,9200,1599
BUDGET,Budget,FULLSIZE,6500,9200,1599
BUDGET,Budget,SUV,7800,9200,1599
BUDGET,Budget,MINIVAN,8200,9200,1599
BUDGET,Budget,LUXURY,9500,9200,1599
DOLLAR,Dollar,ECONOMY,4200,9000,1499
DOLLAR,Dollar,COMPACT,4600,9000,1499
DOLLAR,Dollar,MIDSIZE,5200,9000,1499
DOLLAR,Dollar,STANDARD,5800,9000,1499
DOLLAR,Dollar,FULLSIZE,6500,9000,1499
DOLLAR,Dollar,SUV,7800,9000,1499
DOLLAR,Dollar,MINIVAN,8200,9000,1499
DOLLAR,Dollar,LUXURY,9500,9000,1499
ENTERPRISE,Enterprise,ECONOMY,4200,10000,1699
ENTERPRISE,Enterprise,COMPACT,4600,10000,1699
ENTERPRISE,Enterprise,MIDSIZE,5200,10000,1699
ENTERPRISE,Enterprise,STANDARD,5800,10000,1699
ENTERPRISE,Enterprise,FULLSIZE,6500,10000,1699
ENTERPRISE,Enterprise,SUV,7800,10000,1699
ENTERPRISE,Enterprise,MINIVAN,8200,10000,1699
ENTERPRISE,Enterprise,LUXURY,9500,10000,1699
HERTZ,Hertz,ECONOMY,4200,11500,1999
HERTZ,Hertz,COMPACT,4600,11500,1999
HERTZ,Hertz,MIDSIZE,5200,11500,1999
HERTZ,Hertz,STANDARD,5800,11500,1999
HERTZ,Hertz,FULLSIZE,6500,11500,1999
HERTZ,Hertz,SUV,7800,11500,1999
HERTZ,Hertz,MINIVAN,8200,11500,1999
HERTZ,Hertz,LUXURY,9500,11500,1999
THRIFTY,Thrifty,ECONOMY,4200,8800,1399
THRIFTY,Thrifty,COMPACT,4600,8800,1399
THRIFTY,Thrifty,MIDSIZE,5200,8800,1399
THRIFTY,Thrifty,STANDARD,5800,8800,1399
THRIFTY,Thrifty,FULLSIZE,6500,8800,1399
THRIFTY,Thrifty,SUV,7800,8800,1399
THRIFTY,Thrifty,MINIVAN,8200,8800,1399
THRIFTY,Thrifty,LUXURY,9500,8800,1399
