crossing_code,payment_type,toll_class,day_of_week_mask,window_start,window_end,amount_cents,effective_date
GWB,EZPASS,PASSENGER,1111100,00:00,06:00,1479,2026-01-04
GWB,EZPASS,PASSENGER,1111100,06:00,10:00,1679,2026-01-04
GWB,EZPASS,PASSENGER,1111100,10:00,16:00,1479,2026-01-04
GWB,EZPASS,PASSENGER,1111100,16:00,20:00,1679,2026-01-04
GWB,EZPASS,PASSENGER,1111100,20:00,24:00,1479,2026-01-04
GWB,EZPASS,PASSENGER,0000011,00:00,11:00,1479,2026-01-04
GWB,EZPASS,PASSENGER,0000011,11:00,21:00,1679,2026-01-04
GWB,EZPASS,PASSENGER,0000011,21:00,24:00,1479,2026-01-04
GWB,TOLLS_BY_MAIL,PASSENGER,1111111,00:00,24:00,2330,2026-01-04
GWB,EZPASS,PASSENGER,1111100,00:00,06:00,1406,2025-01-05
GWB,EZPASS,PASSENGER,1111100,06:00,10:00,1606,2025-01-05
LINCOLN,EZPASS,PASSENGER,1111100,00:00,06:00,1479,2026-01-04
LINCOLN,EZPASS,PASSENGER,1111100,06:00,10:00,1679,2026-01-04
LINCOLN,EZPASS,PASSENGER,1111100,10:00,16:00,1479,2026-01-04
LINCOLN,EZPASS,PASSENGER,1111100,16:00,20:00,1679,2026-01-04
LINCOLN,EZPASS,PASSENGER,1111100,20:00,24:00,1479,2026-01-04
LINCOLN,EZPASS,PASSENGER,0000011,00:00,11:00,1479,2026-01-04
LINCOLN,EZPASS,PASSENGER,0000011,11:00,21:00,1679,2026-01-04
LINCOLN,EZPASS,PASSENGER,0000011,21:00,24:00,1479,2026-01-04
LINCOLN,TOLLS_BY_MAIL,PASSENGER,1111111,00:00,24:00,2330,2026-01-04
HOLLAND,EZPASS,PASSENGER,1111100,00:00,06:00,1479,2026-01-04
HOLLAND,EZPASS,PASSENGER,1111100,06:00,10:00,1679,2026-01-04
HOLLAND,EZPASS,PASSENGER,1111100,10:00,16:00,1479,2026-01-04
HOLLAND,EZPASS,PASSENGER,1111100,16:00,20:00,1679,2026-01-04
HOLLAND,EZPASS,PASSENGER,1111100,20:00,24:00,1479,2026-01-04
HOLLAND,EZPASS,PASSENGER,0000011,00:00,11:00,1479,2026-01-04
HOLLAND,EZPASS,PASSENGER,0000011,11:00,21:00,1679,2026-01-04
HOLLAND,EZPASS,PASSENGER,0000011,21:00,24:00,1479,2026-01-04
HOLLAND,TOLLS_BY_MAIL,PASSENGER,1111111,00:00,24:00,2330,2026-01-04
BAYONNE,EZPASS,PASSENGER,1111100,00:00,06:00,1479,2026-01-04
BAYONNE,EZPASS,PASSENGER,1111100,06:00,10:00,1679,2026-01-04
BAYONNE,EZPASS,PASSENGER,1111100,10:00,16:00,1479,2026-01-04
BAYONNE,EZPASS,PASSENGER,1111100,16:00,20:00,1679,2026-01-04
